Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task,Wiki,OFG Role,Čas
1159584917580037,2020-01-30,,2020-01-30,"Zhodnotit, co by šlo v příští diskuzi udělat lépe",Ukončení a vyhodnocení online focus group,,,,,,,Checklist OFG,,,,
1159584917580034,2020-01-30,,2020-01-30,Naplánovat úkoly vyplývající ze zadání,Ukončení a vyhodnocení online focus group,,,,,,,Checklist OFG,,,,
1159573861804929,2020-01-30,,2020-01-30,Připravit podklady pro screening,Rekrutace účastníků do diskuze,,,,,,,Checklist OFG,,,,
1159573861804945,2020-01-30,,2020-01-30,"Na základě zadání k výzkumu připravit popis diskuze, který zaujme respondenty",,,,,,,,,Připravit podklady pro screening,,,
1159573861804946,2020-01-30,,2020-01-30,"Popsat, jak diskuze probíhá a jaká máte očekávání od účastníků diskuze",,,,,,,,,Připravit podklady pro screening,,,
1159573861804947,2020-01-30,,2020-01-30,Vytvořit si seznam otázek do dotazníku (nezapomeňte na otevřenou otázku ve vztahu k tématu),,,,,,,,,Připravit podklady pro screening,,,
1159573861804944,2020-01-30,,2020-01-30,Vytvořit screeningový dotazník,,,,,,,,,Připravit podklady pro screening,,,
1159326552439722,2020-01-29,,2020-01-30,"Rozhodnout se, zda je potřeba realizovat screening",Rekrutace účastníků do diskuze,,,,,,,Checklist OFG,,,Projekťák,2.0
1159328974713033,2020-01-29,,2020-01-30,Vytvořit zadání k výzkumu,Příprava online focus group,,,,,,,Checklist OFG,,https://www.notion.so/uncool/Design-v-zkumu-f604187a75244600ae34f7482dedcb24,Konzultant,2.0
1159573861804932,2020-01-30,,2020-01-30,"Stanovit si cíle výzkumu a změny, které chceme na základě poznatků realizovat",,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804933,2020-01-30,,2020-01-30,"Sepsat oblasti zájmu, na které se v online focus group zaměříme",,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804934,2020-01-30,,2020-01-30,Rozhodnout se o vhodných respondentech a jejich charakteristikách,,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804935,2020-01-30,,2020-01-30,"Promyslet, co bude výstupem z online focus group",,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804936,2020-01-30,,2020-01-30,Připravit si načasování hlavních kroků v projektu,,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804937,2020-01-30,,2020-01-30,"Rozhodněte se, kde budete rekrutovat",,,,,,,,,Vytvořit zadání k výzkumu,,,
1159573861804938,2020-01-30,,2020-01-30,Připravte si vhodné odměny pro účastníky diskuze,,,,,,,,,Vytvořit zadání k výzkumu,,,
1159328975647159,2020-01-29,,2020-01-30,Sepsat scénář diskuze,Příprava online focus group,,,,,,,Checklist OFG,,https://www.notion.so/uncool/Design-v-zkumu-f604187a75244600ae34f7482dedcb24,Konzultant,2.0
1159573861804940,2020-01-30,,2020-01-30,Rozhodnout se o vhodném pojmenování hlavního tématu diskuze,,,,,,,,,Sepsat scénář diskuze,,,
1159573861804939,2020-01-30,,2020-01-30,"Ke každému okruhu zájmu ze zadání promyslet vhodný způsob, jak se na něj zeptat",,,,,,,,,Sepsat scénář diskuze,,,
1159573861804943,2020-01-30,,2020-01-30,"Doplnit ke každému tématu, co u něj chcete zjistit",,,,,,,,,Sepsat scénář diskuze,,,
1159573861804941,2020-01-30,,2020-01-30,"Rozhodnout se o vhodném pořadí témat: obecná bývají na začátku, konkrétní později",,,,,,,,,Sepsat scénář diskuze,,,
1159573861804942,2020-01-30,,2020-01-30,"Zkontrolovat, zda se ptáte na otevřené otázky, zda nejsou otázky příliš složité, odborné nebo zavádějící",,,,,,,,,Sepsat scénář diskuze,,,
1159328976498736,2020-01-29,,2020-01-30,Založit diskuzi v diskuzním prostředí a vložit první témata,Realizace online focus group,,,,,,,Checklist OFG,,https://www.notion.so/uncool/Nastaven-zen-a-moderov-n-Diskuze-641d2ea1971e4786a9fc524b57e8b312,Konzultant,0.5
1159328976665922,2020-01-29,,2020-01-30,"Zkontrolovat, zda je diskuze připravena ke spuštění",Realizace online focus group,,,,,,,Checklist OFG,,,Projekťák,
1159328977021535,2020-01-29,,2020-01-30,Máme vybraný odpovídající počet respondentů,,,,,,,,,"Zkontrolovat, zda je diskuze připravena ke spuštění",,,
1159328977157845,2020-01-29,,2020-01-30,Úvodní téma je zveřejněné,,,,,,,,,"Zkontrolovat, zda je diskuze připravena ke spuštění",,,
1159328977658982,2020-01-29,,2020-01-30,Máme připravené podmínky diskuze,,,,,,,,,"Zkontrolovat, zda je diskuze připravena ke spuštění",,,
1159328977933642,2020-01-29,,2020-01-30,Spustit diskuzi a pozvat respondenty do diskuze,Realizace online focus group,,,,,,,Checklist OFG,,,Moderátor,1.0
1159328978909349,2020-01-29,,2020-01-30,Moderovat diskuzi,Realizace online focus group,,,,,,,Checklist OFG,,,Moderátor,9.0
1159328979481470,2020-01-29,,2020-01-30,Zaurgovat nezaregistrované respondenty a pozvat případné náhradníky,Realizace online focus group,,,,,,Nejpozději třetí den od startu diskuze.,Checklist OFG,,,Moderátor,0.5
1159328940649678,2020-01-29,,2020-01-30,Pochválit respondenty a vybídnout k přidání vlastního tématu,Realizace online focus group,,,,,,,Checklist OFG,,,Moderátor,0.2
1159328942373097,2020-01-29,,2020-01-30,Vyhodnotit odměny rozeslat je respondentům,Ukončení a vyhodnocení online focus group,,,,,,,Checklist OFG,,,Moderátor,1.0
1159328943151198,2020-01-29,,2020-01-30,Vyhodnotit diskuzi,Ukončení a vyhodnocení online focus group,,,,,,,Checklist OFG,,,Analytik,7.5
1159579965026828,2020-01-30,,2020-01-30,Vybrat nebo oštítkovat zajímavé příspěvky,,,,,,,,,Vyhodnotit diskuzi,,,
1159579965026829,2020-01-30,,2020-01-30,Pročíst roztříděné příspěvky a nalézt zajímavé poznatky a citace,,,,,,,,,Vyhodnotit diskuzi,,,
1159584917580033,2020-01-30,,2020-01-30,Zpracovat report s komentáře (proč je dané zjištění zajímavé a k čemu bude sloužit),,,,,,,,,Vyhodnotit diskuzi,,,
1159328945864336,2020-01-29,,2020-01-30,Spustit screening,Rekrutace účastníků do diskuze,,,,,,"    Facebook reklama
    Seeding
",Checklist OFG,,,Projekťák,2.0
1159328946352971,2020-01-29,,2020-01-30,Vybrat vhodné respondenty do diskuze (a několik náhradníků),Rekrutace účastníků do diskuze,,,,,,,Checklist OFG,,https://www.notion.so/uncool/Rekrutace-a7de67959cbd4d5596c8eaa2626448c1,Konzultant,2.0
1159328991923732,2020-01-29,,2020-01-30,"Připomenout konec výzkumu a neaktivním uživatelům, že musí zodpovědět všechny otázky",Realizace online focus group,,,,,,,Checklist OFG,,,Moderátor,0.2
1159328992209587,2020-01-29,,2020-01-30,Uzavřít diskuzi,Realizace online focus group,,,,,,,Checklist OFG,,,Projekťák,